Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1963;CONNECTICUT;COD, ATLANTIC;136,400;62;12,827;Commercial;Gadus morhua;164712;ACCSPHIST
1963;DELAWARE;COD, ATLANTIC;87,900;40;10,931;Commercial;Gadus morhua;164712;ACCSPHIST
1963;MAINE;COD, ATLANTIC;1,960,200;889;87,644;Commercial;Gadus morhua;164712;ACCSPHIST
1963;MARYLAND;COD, ATLANTIC;150,100;68;14,445;Commercial;Gadus morhua;164712;ACCSPHIST
1963;MASSACHUSETTS;COD, ATLANTIC;37,220,800;16,883;2,640,344;Commercial;Gadus morhua;164712;ACCSPHIST
1963;NEW HAMPSHIRE;COD, ATLANTIC;75,000;34;5,400;Commercial;Gadus morhua;164712;ACCSPHIST
1963;NEW JERSEY;COD, ATLANTIC;1,105,700;502;142,912;Commercial;Gadus morhua;164712;ACCSPHIST
1963;NEW YORK;COD, ATLANTIC;882,200;400;137,659;Commercial;Gadus morhua;164712;ACCSPHIST
1963;OREGON;COD, PACIFIC;67,200;30;3,359;Commercial;Gadus macrocephalus;164711;PACFINHIST
1963;RHODE ISLAND;COD, ATLANTIC;508,800;231;47,852;Commercial;Gadus morhua;164712;ACCSPHIST
1963;VIRGINIA;COD, ATLANTIC;50,500;23;5,370;Commercial;Gadus morhua;164712;ACCSPHIST
1963;WASHINGTON;COD, PACIFIC;6,301,900;2,859;346,598;Commercial;Gadus macrocephalus;164711;PACFINHIST
1962;CONNECTICUT;COD, ATLANTIC;289,800;131;24,563;Commercial;Gadus morhua;164712;ACCSPHIST
1962;DELAWARE;COD, ATLANTIC;38,600;18;3,474;Commercial;Gadus morhua;164712;ACCSPHIST
1962;MAINE;COD, ATLANTIC;2,260,000;1,025;107,384;Commercial;Gadus morhua;164712;ACCSPHIST
1962;MARYLAND;COD, ATLANTIC;374,700;170;42,357;Commercial;Gadus morhua;164712;ACCSPHIST
1962;MASSACHUSETTS;COD, ATLANTIC;40,647,100;18,437;2,759,621;Commercial;Gadus morhua;164712;ACCSPHIST
1962;NEW HAMPSHIRE;COD, ATLANTIC;50,000;23;3,500;Commercial;Gadus morhua;164712;ACCSPHIST
1962;NEW JERSEY;COD, ATLANTIC;1,483,900;673;174,750;Commercial;Gadus morhua;164712;ACCSPHIST
1962;NEW YORK;COD, ATLANTIC;1,027,800;466;112,847;Commercial;Gadus morhua;164712;ACCSPHIST
1962;OREGON;COD, PACIFIC;18,900;9;943;Commercial;Gadus macrocephalus;164711;PACFINHIST
1962;RHODE ISLAND;COD, ATLANTIC;699,400;317;59,793;Commercial;Gadus morhua;164712;ACCSPHIST
1962;VIRGINIA;COD, ATLANTIC;38,700;18;4,343;Commercial;Gadus morhua;164712;ACCSPHIST
1962;WASHINGTON;COD, PACIFIC;3,166,100;1,436;158,307;Commercial;Gadus macrocephalus;164711;PACFINHIST
1961;CONNECTICUT;COD, ATLANTIC;399,600;181;24,930;Commercial;Gadus morhua;164712;ACCSPHIST
1961;DELAWARE;COD, ATLANTIC;32,000;15;2,560;Commercial;Gadus morhua;164712;ACCSPHIST
1961;MAINE;COD, ATLANTIC;2,506,500;1,137;124,007;Commercial;Gadus morhua;164712;ACCSPHIST
1961;MARYLAND;COD, ATLANTIC;788,800;358;70,554;Commercial;Gadus morhua;164712;ACCSPHIST
1961;MASSACHUSETTS;COD, ATLANTIC;38,165,800;17,312;2,361,056;Commercial;Gadus morhua;164712;ACCSPHIST
1961;NEW HAMPSHIRE;COD, ATLANTIC;30,000;14;1,800;Commercial;Gadus morhua;164712;ACCSPHIST
1961;NEW JERSEY;COD, ATLANTIC;2,405,100;1,091;232,996;Commercial;Gadus morhua;164712;ACCSPHIST
1961;NEW YORK;COD, ATLANTIC;1,165,600;529;104,437;Commercial;Gadus morhua;164712;ACCSPHIST
1961;OREGON;COD, PACIFIC;104,100;47;4,672;Commercial;Gadus macrocephalus;164711;PACFINHIST
1961;RHODE ISLAND;COD, ATLANTIC;1,065,700;483;68,773;Commercial;Gadus morhua;164712;ACCSPHIST
1961;VIRGINIA;COD, ATLANTIC;30,400;14;2,831;Commercial;Gadus morhua;164712;ACCSPHIST
1961;WASHINGTON;COD, PACIFIC;2,962,800;1,344;145,182;Commercial;Gadus macrocephalus;164711;PACFINHIST
1960;CONNECTICUT;COD, ATLANTIC;249,900;113;16,191;Commercial;Gadus morhua;164712;ACCSPHIST
1960;DELAWARE;COD, ATLANTIC;19,300;9;1,351;Commercial;Gadus morhua;164712;ACCSPHIST
1960;MAINE;COD, ATLANTIC;2,897,200;1,314;144,470;Commercial;Gadus morhua;164712;ACCSPHIST
1960;MARYLAND;COD, ATLANTIC;545,800;248;41,321;Commercial;Gadus morhua;164712;ACCSPHIST
1960;MASSACHUSETTS;COD, ATLANTIC;31,265,800;14,182;2,021,401;Commercial;Gadus morhua;164712;ACCSPHIST
1960;NEW HAMPSHIRE;COD, ATLANTIC;20,000;9;1,200;Commercial;Gadus morhua;164712;ACCSPHIST
